Filename;Testnumber;Testbox;cage;animal_ID;group;Sex;Genotype;Age;Time_of_OFT;Comments;Session;Feces;PRE;Ex1;Ex2;Ex3;Ex4;Ex5;Ex6
TFS1OFT3_26DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;26;2;470413;2012;TFS;M;wt;13;14:15;noise from entranc door;OFT3;0;14,00666667;67,95;38,25;38,22;29,99333333;35,84;28,05333333
TFS1OFT3_27DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;27;3;470418;2036;Control;M;wt;13;14:15;noise from entranc door;OFT3;0;10,83666667;24,96;23,95;27,30;28,45;26,24;28,06666667
TFS1OFT3_28DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;28;4;470412;2006;TFS;M;wt;13;14:15;noise from entranc door;OFT3;4;8,86;33,74;21,96;30,23;22,64666667;23,50666667;25,91
TFS1OFT3_29DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;29;1;470415;2022;Control;M;wt;13;14:35;;OFT3;3;6,403333333;21,00;18,93;34,74;24,34;29,75;24,89666667
TFS1OFT3_30DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;30;2;470417;2031;TFS;M;wt;13;14:35;;OFT3;3;14;52,66;61,27;74,19;36,39666667;41,69666667;39,51
TFS1OFT3_31DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;31;3;470414;2017;TFS;M;wt;13;14:35;;OFT3;3;8,076666667;40,21;26,09;22,14;19,05;23,72666667;22,72
TFS1OFT3_32DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;32;4;470416;2027;Control;M;wt;13;14:35;;OFT3;3;7,96;15,03;19,08;27,87;27,27;25,68;33,56666667
TFS1OFT3_33DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;33;1;470418;2037;TFS;M;wt;13;14:55;;OFT3;0;23,21333333;80,81;32,65;56,24;27,84;36,39333333;47,68666667
TFS1OFT3_34DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;34;2;470412;2007;Control;M;wt;13;14:55;;OFT3;0;9,173333333;17,40;24,05;25,33;20,08;18,47;12,25
TFS1OFT3_35DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;35;3;470417;2032;TFS;M;wt;13;14:55;;OFT3;0;13,49;32,63;38,92;27,93;31,38;32,09;52,25
