filename;sex;session;group;VideoFile;animal_ID
TFS1EX1_22DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_22.mp4;22
TFS1EX1_23DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_23.mp4;23
TFS1EX1_24DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_24.mp4;24
TFS1EX1_25DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_25.mp4;25
TFS1EX1_26DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_26.mp4;26
TFS1EX1_27DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_27.mp4;27
TFS1EX1_28DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_28.mp4;28
TFS1EX1_29DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_29.mp4;29
TFS1EX1_30DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_30.mp4;30
TFS1EX1_31DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_31.mp4;31
TFS1EX1_32DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_32.mp4;32
TFS1EX1_33DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_33.mp4;33
TFS1EX1_34DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_34.mp4;34
TFS1EX1_35DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_35.mp4;35
TFS1EX2_1DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_1.mp4;1
TFS1EX2_2DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_2.mp4;2
TFS1EX2_3DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_3.mp4;3
TFS1EX2_4DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_4.mp4;4
TFS1EX2_5DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_5.mp4;5
TFS1EX2_6DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_6.mp4;6
TFS1EX2_7DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_7.mp4;7
TFS1EX2_8DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_8.mp4;8
TFS1EX2_9DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_9.mp4;9
TFS1EX2_10DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_10.mp4;10
TFS1EX2_11DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_11.mp4;11
